"gender","Age","Attitude","Points","deep","stra","surf"
"F",53,37,25,3.58333333333333,3.375,2.58333333333333
"M",55,31,12,2.91666666666667,2.75,3.16666666666667
"F",49,25,24,3.5,3.625,2.25
"M",53,35,10,3.5,3.125,2.25
"M",49,37,22,3.66666666666667,3.625,2.83333333333333
"F",38,38,21,4.75,3.625,2.41666666666667
"M",50,35,21,3.83333333333333,2.25,1.91666666666667
"F",37,29,31,3.25,4,2.83333333333333
"M",37,38,24,4.33333333333333,4.25,2.16666666666667
"F",42,21,26,4,3.5,3
"M",37,39,31,3.58333333333333,3.625,2.66666666666667
"F",34,38,31,3.83333333333333,4.75,2.41666666666667
"F",34,24,23,4.25,3.625,2.25
"F",34,30,25,3.33333333333333,3.5,2.75
"M",35,26,21,4.16666666666667,1.75,2.33333333333333
"F",33,41,31,3.66666666666667,3.875,2.33333333333333
"F",32,26,20,4.08333333333333,1.375,2.91666666666667
"F",44,26,22,3.5,3.25,2.5
"M",29,17,9,4.08333333333333,3,3.75
"F",30,27,24,4,3.75,2.75
"M",27,39,28,3.91666666666667,2.625,2.33333333333333
"M",29,34,30,4,2.375,2.41666666666667
"F",31,27,24,4,3.625,3
"F",37,23,9,3.66666666666667,2.75,2.41666666666667
"F",26,37,26,3.66666666666667,1.75,2.83333333333333
"F",26,44,32,4.41666666666667,3.25,3.16666666666667
"M",30,41,32,3.91666666666667,4,3
"F",33,37,33,3.75,3.625,2
"F",33,25,29,3.25,2.875,3.5
"M",28,30,30,3.58333333333333,3,3.75
"M",26,34,19,4.91666666666667,1.625,2.5
"F",27,32,23,3.58333333333333,3.25,2.08333333333333
"F",25,20,19,2.91666666666667,3.5,2.41666666666667
"F",31,24,12,3.66666666666667,3,2.58333333333333
"M",20,42,10,4.5,3.25,1.58333333333333
"F",39,16,11,4.08333333333333,1.875,2.83333333333333
"M",38,31,20,3.83333333333333,4.375,1.83333333333333
"M",24,38,26,3.25,3.625,2.41666666666667
"M",26,38,31,2.33333333333333,2.5,3.25
"M",25,33,20,3.33333333333333,1.25,3.41666666666667
"F",30,17,23,4.08333333333333,4,3.41666666666667
"F",25,25,12,2.91666666666667,3,3.16666666666667
"M",30,32,24,3.33333333333333,2.5,3.5
"F",48,35,17,3.83333333333333,4.875,2.66666666666667
"F",24,32,29,3.66666666666667,5,2.41666666666667
"F",40,42,23,4.66666666666667,4.375,3.58333333333333
"M",25,31,28,3.75,3.25,2.08333333333333
"F",23,39,31,3.41666666666667,4,3.75
"F",25,19,23,4.16666666666667,3.125,2.91666666666667
"F",23,21,25,2.91666666666667,2.5,2.91666666666667
"M",27,25,18,4.16666666666667,3.125,2.41666666666667
"M",25,32,19,3.58333333333333,3.25,3
"M",23,32,22,2.83333333333333,2.125,3.41666666666667
"F",23,26,25,4,2.75,2.91666666666667
"F",23,23,21,2.91666666666667,2.375,3.25
"F",45,38,9,3,3.125,3.25
"F",22,28,28,4.08333333333333,4,2.33333333333333
"F",23,33,25,2.91666666666667,4,3.25
"M",21,48,29,3.5,2.25,2.5
"M",21,40,33,4.33333333333333,3.25,1.75
"F",21,40,33,4.25,3.625,2.25
"F",21,47,25,3.41666666666667,3.625,2.08333333333333
"F",26,23,18,3.08333333333333,2.5,2.83333333333333
"F",25,31,22,4.58333333333333,1.875,2.83333333333333
"F",26,27,17,3.41666666666667,2,2.41666666666667
"M",21,41,25,3.41666666666667,1.875,2.25
"F",23,34,28,3.41666666666667,4,2.83333333333333
"F",22,25,22,3.58333333333333,2.875,2.25
"F",22,21,26,1.58333333333333,3.875,1.83333333333333
"F",22,14,11,3.33333333333333,2.5,2.91666666666667
"F",23,19,29,4.33333333333333,2.75,2.91666666666667
"M",22,37,22,4.41666666666667,4.5,2.08333333333333
"M",23,32,21,4.83333333333333,3.375,2.33333333333333
"M",24,28,28,3.08333333333333,2.625,2.41666666666667
"F",22,41,33,3,4.125,2.75
"F",23,25,16,4.08333333333333,2.625,3.25
"M",22,28,31,4.08333333333333,2.25,1.75
"M",20,38,22,3.75,2.75,2.58333333333333
"M",22,31,31,3.08333333333333,3,3.33333333333333
"M",21,35,23,4.75,1.625,2.83333333333333
"F",22,36,26,4.25,1.875,2.5
"F",23,26,12,4.16666666666667,3.375,2.41666666666667
"M",21,44,26,4.41666666666667,3.75,2.41666666666667
"M",22,45,31,3.83333333333333,2.125,2.58333333333333
"M",29,32,19,3.33333333333333,2.375,3
"F",29,39,30,3.16666666666667,2.75,2
"F",21,25,12,3.16666666666667,3.125,3.41666666666667
"M",28,33,17,3.83333333333333,3.5,2.83333333333333
"F",21,33,18,4.25,2.625,2.25
"F",30,30,19,3.83333333333333,3.375,2.75
"F",21,29,21,3.66666666666667,2.25,3.91666666666667
"M",23,33,24,3.83333333333333,3,2.33333333333333
"F",21,33,28,3.83333333333333,4,2.75
"F",21,35,17,3.83333333333333,3.5,2.75
"F",20,36,18,3.66666666666667,2.625,2.91666666666667
"M",22,37,17,4.33333333333333,2.5,2.08333333333333
"M",21,42,23,3.75,3.75,3.66666666666667
"M",21,32,26,4.16666666666667,3.625,2.83333333333333
"F",20,50,28,4,4.125,3.41666666666667
"M",22,47,31,4,4.375,1.58333333333333
"F",20,36,27,4.58333333333333,2.625,2.91666666666667
"F",20,36,25,3.66666666666667,4,3
"M",24,29,23,3.66666666666667,2.75,2.91666666666667
"F",20,35,21,3.83333333333333,2.75,2.66666666666667
"F",19,40,27,2.58333333333333,1.375,3
"F",21,35,28,3.5,2.25,2.75
"F",21,32,23,3.08333333333333,3.625,3.08333333333333
"F",22,26,21,4.25,3.75,2.5
"F",25,20,25,3.16666666666667,4,2.33333333333333
"F",21,27,11,3.08333333333333,3.125,3
"F",22,32,19,4.16666666666667,3.25,3
"F",25,33,24,2.25,2.125,4
"F",20,39,28,3.33333333333333,2.875,3.25
"M",24,33,21,3.08333333333333,1.5,3.5
"F",20,30,24,2.75,2.5,3.5
"M",21,37,24,3.25,3.25,3.83333333333333
"F",20,25,20,4,3.625,2.91666666666667
"F",20,29,19,3.58333333333333,3.875,2.16666666666667
"M",31,39,30,4.08333333333333,3.875,1.66666666666667
"F",20,36,22,4.25,2.375,2.08333333333333
"F",22,29,16,3.41666666666667,3,2.83333333333333
"F",22,21,16,3.08333333333333,3.375,3.41666666666667
"M",21,31,19,3.5,2.75,3.33333333333333
"M",22,40,30,3.66666666666667,4.5,2.58333333333333
"F",21,31,23,4.25,2.625,2.83333333333333
"F",21,23,19,4.25,2.75,3.33333333333333
"F",21,28,18,3.83333333333333,3.25,3
"F",21,37,28,4.41666666666667,4.125,2.58333333333333
"F",20,26,21,3.5,3.375,2.41666666666667
"F",21,24,19,3.58333333333333,2.75,3.58333333333333
"F",25,30,27,3.66666666666667,4.125,2.08333333333333
"M",21,28,24,2.08333333333333,3.25,4.33333333333333
"F",24,29,21,4.25,2.875,2.66666666666667
"F",20,24,20,3.58333333333333,2.875,3
"M",21,31,28,4,2.375,2.66666666666667
"F",20,19,12,3.33333333333333,3.875,2.16666666666667
"F",20,20,21,3.5,2.125,2.66666666666667
"F",18,38,28,3.16666666666667,4,2.25
"F",21,34,31,3.58333333333333,3.25,2.66666666666667
"F",19,37,18,3.41666666666667,2.625,3.33333333333333
"F",21,29,25,4.25,2.75,3.5
"F",20,23,19,3.25,4,2.75
"M",21,41,21,4.41666666666667,3,2
"F",20,27,16,3.25,3.375,2.83333333333333
"F",21,35,7,3.91666666666667,3.875,3.5
"F",20,34,21,3.58333333333333,3.25,2.5
"F",18,32,17,4.5,3.375,3.16666666666667
"M",22,33,22,3.58333333333333,4.125,3.08333333333333
"F",22,33,18,3.66666666666667,3.5,2.91666666666667
"M",24,35,25,2.58333333333333,2,3.16666666666667
"F",19,32,24,4.16666666666667,3.625,2.5
"F",20,31,23,3.25,3.375,3.83333333333333
"F",20,28,23,4.33333333333333,2.125,2.25
"F",17,17,26,3.91666666666667,4.625,3.41666666666667
"M",19,19,12,2.66666666666667,2.5,3.75
"F",20,35,32,3.08333333333333,2.875,3
"F",20,24,22,3.75,2.75,2.58333333333333
"F",20,21,20,4.16666666666667,4,3.33333333333333
"F",20,29,21,4.16666666666667,2.375,2.83333333333333
"F",19,19,23,3.25,3.875,3
"F",19,20,20,4.08333333333333,3.375,2.83333333333333
"F",22,42,28,2.91666666666667,1.75,3.16666666666667
"M",35,41,31,3.83333333333333,3,2.75
"F",18,37,18,3.16666666666667,2.625,3.41666666666667
"F",19,36,30,3.41666666666667,2.625,3
"M",21,18,19,4.08333333333333,3.375,2.66666666666667
